Year,Trifd,Frs_id,Facility,Street_address,City,County,State,Zip,Latitude,Longitude,Company_name,Federal_facility,Industry_sector,Chemical,Carcinogen
2021,27260MRCNM500MA,110000345733.0,AMERICAN METAL TREATING INC.,500 MANLEY ST,HIGH POINT,GUILFORD,NC,27260,35.95178,-79.97732,NA,NO,Fabricated Metals,Methanol,NO
2021,28451MRCND1690N,110000350316.0,AMERICAN DISTILLATION INC,1690 NE ROYSTER RD,LELAND,BRUNSWICK,NC,28451,34.270744,-78.003706,NA,NO,Chemicals,Methanol,NO
2021,27806TXSGLHIGHW,110000586376.0,PCS PHOSPHATE CO INC,1530 NC HWY 306 S,AURORA,BEAUFORT,NC,27806,35.37745,-76.778816,POTASH HOLDING CO INC,NO,Chemicals,Hydrogen fluoride,NO
2021,28213NCLCH14700,110059780198.0,MALLARD CREEK POLYMERS,2800 MOREHEAD RD,CHARLOTTE,MECKLENBURG,NC,28262,35.350334,-80.714847,NA,NO,Chemicals,Methyl methacrylate,NO
2021,27703CRRSR4600S,110000347321.0,WOLFSPEED INC.,4600 SILICON DR,DURHAM,DURHAM,NC,27703,35.899298,-78.840802,WOLFSPEED INC,NO,Computers and Electronic Products,Certain glycol ethers,NO
2021,28523CVCTYHWY10,110007657678.0,CULPEPER OF COVE CITY LLC,11065 OLD HWY 70 W,COVE CITY,CRAVEN,NC,28523,35.190698,-77.335617,JEFFERSON HOMEBUILDERS INC,NO,Wood Products,Arsenic compounds,NO
2021,2710WSTRTF1681S,110014354475.0,STRATFORD METAL FINISHING INC,1681 S MARTIN LUTHER KING JR DR,WINSTON SALEM,FORSYTH,NC,27107,36.075808,-80.220172,NA,NO,Fabricated Metals,Chromium  and Chromium Compounds(except for chromite ore mined in the Transvaal Region),NO
2021,28560WYRHSSTREE,110000350478.0,INTERNATIONAL PAPER- NEW BERN MILL,1785 WEYERHAEUSER RD,VANCEBORO,CRAVEN,NC,28586,35.212247,-77.114823,INTERNATIONAL PAPER CO,NO,Paper,Polycyclic aromatic compounds,YES
2021,27203TLRMP801PI,110056970434.0,STARPET INC,801 PINEVIEW RD,ASHEBORO,RANDOLPH,NC,27203,35.77262,-79.82243,INDORAMA VENTURES HOLDINGS LP,NO,Chemicals,Acetaldehyde,YES
2021,28456FDRLPRIEGE,110009719304.0,INTERNATIONAL PAPER RIEGELWOOD MILL,865 JOHN L.RIEGEL RD,RIEGELWOOD,COLUMBUS,NC,28456,34.3522,-78.2125,INTERNATIONAL PAPER CO,NO,Paper,Ammonia,NO
2021,27209FNDRY530EM,110000345573.0,GREDE BISCOE,530 E MAIN,BISCOE,MONTGOMERY,NC,27209,35.3607,-79.7686,GREDE HOLDINGS LLC,NO,Primary Metals,Lead,YES
2021,2725WNDLRX932EA,110056968456.0,INDULOR AMERICA LP,932 E ELM ST,GRAHAM,ALAMANCE,NC,27253,36.08125,-79.38037,NA,NO,Chemicals,Acrylamide,YES
2021,28677STTSVHWY64,110000351351.0,STATESVILLE BRICK CO,391 BRICK YARD RD,STATESVILLE,IREDELL,NC,28677,35.71323,-81.03476,NA,NO,Nonmetallic Mineral Product,Manganese  And Manganese Compounds,NO
2021,28716CHMPNMAINS,110009846480.0,BLUE RIDGE PAPER PRODUCTS LLC,175 MAIN ST,CANTON,HAYWOOD,NC,28716,35.5349,-82.8421,EVERGREEN PACKAGING GROUP,NO,Paper,Chlorine dioxide,NO
